date,location,parameter,value,uom,Range/Comment
2024-11-05,Sorgente di Ponte Barca,Temperature,18.6,°C,Value in line with the annual average
2024-11-05,Sorgente di Ponte Barca,pH,8.24,,lightly alkaline due to the presence of minerals
2024-11-05,Sorgente di Ponte Barca,Torbidity,30,cm,good value 
2024-11-05,Sorgente di Ponte Barca,Nitrate ,0,mg/l,good value 
2024-11-05,Sorgente di Ponte Barca,Phosphate,1,mg/l,good value 
2024-11-05,Sorgente di Ponte Barca,Hardess,272,mg/l CaCO3,high value but normal
2024-11-05,Impianto di depurazione di Ponte Barca,Temperature,20.1,°C,
2024-11-05,Impianto di depurazione di Ponte Barca,pH,7.98,,good 
2024-11-05,Impianto di depurazione di Ponte Barca,Torbidity,13,cm,bad value for the solar light infiltration 
2024-11-05,Impianto di depurazione di Ponte Barca,Nitrate ,5,mg/l,Bad value (the plants doesn't work well)
2024-11-05,Impianto di depurazione di Ponte Barca,Phosphate,1.5,ml/L,good value 
2024-11-05,Impianto di depurazione di Ponte Barca,Hardness,265,mg/l CaCO3,high value but normal
2024-11-18,Sorgente di Ponte Barca,Temperature,15.8,°C,Value in line with the annual average (in the previus days rained)
2024-11-18,Sorgente di Ponte Barca,pH,8.36,,lightly alkaline due to the presence of minerals
2024-11-18,Sorgente di Ponte Barca,Torbidity,31,cm,good value 
2024-11-18,Sorgente di Ponte Barca,Nitrate ,0,mg/l,good value 
2024-11-18,Sorgente di Ponte Barca,Phosphate,1,mg/l,good value 
2024-11-18,Sorgente di Ponte Barca,Hardess,265,mg/l CaCO3,high value but normal
2024-11-18,Impianto di depurazione di Ponte Barca,Temperature,16.3,°C,Value in line with the annual average (in the previus days rained)
2024-11-18,Impianto di depurazione di Ponte Barca,pH,8.2,,lightly alkaline due to the presence of minerals
2024-11-18,Impianto di depurazione di Ponte Barca,Torbidity,14,cm,bad value for the solar light infiltration 
2024-11-18,Impianto di depurazione di Ponte Barca,Nitrate ,5,mg/l or higher,Bad value (the plants doesn't work well)
2024-11-18,Impianto di depurazione di Ponte Barca,Phosphate,1.5,mg/L,good value 
2024-11-18,Impianto di depurazione di Ponte Barca,Hardess,265,mg/l CaCO3,high value but normal
2024-12-02,Pietralunga,Temperature,15.3,°C,Value in line with the annual average (in the previus days rained)
2024-12-02,Pietralunga,pH,8.21,,lightly alkaline due to the presence of minerals
2024-12-02,Pietralunga,Torbidity,21,cm,bad value for the solar light infiltration 
2024-12-02,Pietralunga,Nitrate ,3,mg/l or higher,Value due to  the presence of agricultural fields
2024-12-02,Pietralunga,Phosphate,1,mg/l,good value 
2024-12-02,Pietralunga,Hardess,260,mg/l CaCO3,high value but normal
2024-12-09,Pietralunga,Temperature,15.1,°C,Value in line with the annual average (in the previus days rained)
2024-12-09,Pietralunga,pH,8.19,,lightly alkaline due to the presence of minerals
2024-12-09,Pietralunga,Torbidity,22,cm,bad value for the solar light infiltration 
2024-12-09,Pietralunga,Nitrate ,3,mg/l or higher,Value due to  the presence of agricultural fields
2024-12-09,Pietralunga,Phosphate,1,mg/L,good value 
2024-12-09,Pietralunga,Hardess,260,mg/l CaCO3,high value but normal
